date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:39	429/429	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:37%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/robots.txt		(from )
12:12:39	15388/15388	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:12:38%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/index.html	(from )
12:12:39	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-561781d14e947-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:39	26132/26132	---M-Z	200	added ('OK')	text/css	etag:%226614-561781cd521c7-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap-theme.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap-theme.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:40	21756/21756	---M-Z	200	added ('OK')	text/css	etag:%2254fc-561781d8c4a9d-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/swiper/swiper.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/swiper/swiper.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:40	19328/19328	---M-Z	200	added ('OK')	text/css	etag:%224b80-561781d8ca85c-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/swiper/swiper.min.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/swiper/swiper.min.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:40	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-561781da35ca3-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:40	12958/12958	---M-Z	200	added ('OK')	text/css	etag:%22329e-561781cbc7985-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/simple-line-icons.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/simple-line-icons.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:40	31131/31131	---M-Z	200	added ('OK')	text/css	etag:%22799b-561781ccac1a1-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/style-chloeB.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/style-chloeB.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:41	796/796	---M-Z	200	added ('OK')	text/css	etag:%2231c-561781cc62dcd-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/style-font.css	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/style-font.css	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:41	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%22553fb284-14979%22	https://code.jquery.com/jquery-2.1.4.min.js	D:/Utilisateurs/Bureau/test_1/WeebWeek/code.jquery.com/jquery-2.1.4.min.js	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:43	15388/15388	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:12:41%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/index.php	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/index-2.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:43	45329/45329	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:12:42%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/search.php	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/search.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:43	5826/5826	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:12:42%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/contact.php	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/contact.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:45	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2215283-561783e07192d-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/js/jquery.min.js	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/js/jquery.min.js	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:46	5394/5394	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2011:12:44%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/admin/index.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:48	228678/228678	---M-Z	200	added ('OK')	application/javascript	etag:%2237d46-5617841ace68c-gzip%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/js/swiper/swiper.js	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/js/swiper/swiper.js	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/)
12:12:49	461/461	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:47%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.eot	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.11.delayed	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css)
12:12:49	461/461	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:48%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.eot?	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regulard41d.eot	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css)
12:12:49	463/463	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:48%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.woff2	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.woff2	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css)
12:12:49	462/462	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:48%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.woff	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.woff	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css)
12:12:50	461/461	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:48%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.ttf	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.ttf	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css)
12:12:50	461/461	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Dec%202017%2011:12:49%20GMT	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.svg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/fonts/glyphicons-halflings-regular.svg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/bootstrap/bootstrap.min.css)
12:13:17	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-561781dd875de%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css)
12:13:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-561781dd875de%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css)
12:13:45	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-561781e35a854%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.html	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css)
12:14:02	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-561781e3cfb42%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css)
12:14:29	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22286ac-561781e09d602%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css)
12:14:35	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-561781e24b0bf%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/css/font-awesome-4.7.0/css/font-awesome.min.css)
